time,mean_camkii_0.0,std_camkii_0.0,mean_camkii_1e-20,std_camkii_1e-20,mean_camkii_1e-19,std_camkii_1e-19,mean_camkii_1e-18,std_camkii_1e-18,mean_camkii_1e-17,std_camkii_1e-17,mean_camkii_1e-16,std_camkii_1e-16,mean_camkii_1e-15,std_camkii_1e-15,mean_camkii_1e-14,std_camkii_1e-14,mean_camkii_1e-13,std_camkii_1e-13,mean_camkii_1e-12,std_camkii_1e-12
9362,7.525,2.121173024531474,7.85,2.056088519495209,7.925,1.9543221331193072,10.425,2.268121469410314,15.775,2.64090420121594,17.6,0.5385164807134504,17.25,1.9332614929181204,17.65,0.5722761571129796,17.75,0.4330127018922193,17.75,0.5361902647381804
9482,7.625,2.1873214212822036,7.85,2.219797288042311,8.075,2.0048378986840802,10.5,2.32379000772445,15.75,2.537222891273055,17.5,0.7071067811865476,17.4,1.8138357147217055,17.625,0.6590713163232034,17.625,0.7310095758606723,17.725,0.5471517157059823
9602,7.65,2.0922475952907678,7.925,2.22920950114609,8.1,2.118962010041709,10.5,2.4186773244895647,16.1,2.4062418831031924,17.65,0.5267826876426369,17.275,1.8301297768191198,17.6,0.5830951894845299,17.4,0.8000000000000005,17.75,0.48733971724044817
9722,7.85,2.019282050630867,7.95,2.246664193866097,8.15,2.1511624764298953,10.55,2.418160457868749,16.075,2.443230443490749,17.625,0.7644442425710327,17.425,1.394408476738434,17.65,0.5267826876426369,17.6,0.6244997998398395,17.65,0.6144102863722254
9842,7.9,2.0223748416156684,8.075,2.359952330027028,8.125,2.0998511852033706,10.675,2.3386694935368704,16.15,2.4036430683443832,17.6,0.7348469228349536,17.35,1.4585952145814824,17.725,0.4993746088859545,17.6,0.7681145747868613,17.725,0.5471517157059823
9962,7.925,2.1724122536940356,8.175,2.2791171536364687,8.35,2.2310311517323105,10.925,2.3386694935368695,16.225,2.3925666134927157,17.7,0.45825756949558405,17.4,1.4798648586948735,17.7,0.5099019513592784,17.6,0.7348469228349537,17.625,0.6959705453537527
10082,8.025,2.1152718501412533,8.175,2.3652431164681573,8.35,2.2533308678487494,10.9,2.3,16.325,2.114089638591514,17.6,0.6244997998398396,17.375,1.2183492931011204,17.725,0.4993746088859544,17.775,0.5695392874947257,17.525,0.8058380730643097
10202,8.125,2.0998511852033706,8.3,2.3895606290697042,8.25,2.2666053913286275,11.0,2.258317958127243,16.45,2.1207310060448497,17.65,0.5722761571129796,17.325,1.009641025315433,17.75,0.48733971724044817,17.6,0.7348469228349533,17.55,0.7053367989832942
10322,8.15,2.185749299439439,8.3,2.4310491562286436,8.35,2.2643983748448506,11.175,2.223595062056038,16.575,1.9985932552673147,17.6,0.6244997998398396,17.475,0.9996874511566101,17.625,0.6199798383818622,17.6,0.5385164807134505,17.625,0.6590713163232034
10442,8.1,2.130727575266252,8.45,2.4489793792516914,8.6,2.2000000000000006,11.375,2.254855871225476,16.625,1.8932445695155182,17.575,0.6279928343540236,17.375,1.0413332799829265,17.575,0.802729717900116,17.625,0.5782516753110188,17.45,0.739932429347437
